Date,Boxscore_URL,Score,Outs,Base State,Pitches,Sequence,Out,Team,Batter,Pitcher,Win Expectancy,Leverage Index,Event,Unnamed: 14,Inning,Event Type
Sunday Jul 27,https://www.baseball-reference.com/boxes/BAL/BAL200807270.shtml,2-May,0.0,---,"""7","(3-2)..CSBFBBX""",O,BAL,Aubrey Huff,JustinÂ Speier,-1%,93%,Popfly: SS (Weak SS),,,
Friday Aug 8,https://www.baseball-reference.com/boxes/BAL/BAL200808080.shtml,1-Aug,0.0,---,"""6","(2-2).CSFBBC""",O,BAL,Juan Castro,DustinÂ Nippert,0%,100%,Strikeout Looking,,,
Saturday Aug 9,https://www.baseball-reference.com/boxes/BAL/BAL200808090.shtml,Jul-00,0.0,---,"""4","(2-1).FBBX""",O,BAL,Alex Cintrón,JoaquÃ­nÂ Benoit,0%,100%,Flyball: CF (Deep CF),,,
Sunday Aug 10,https://www.baseball-reference.com/boxes/BAL/BAL200808100.shtml,12-Jun,0.0,---,"""2","(1-0).BX""",O,BAL,Aubrey Huff,JameyÂ Wright,1%,98%,Groundout: 2B-1B,,,
Monday Aug 18,https://www.baseball-reference.com/boxes/BAL/BAL200808180.shtml,2-Jan,0.0,---,"""8","(3-2)SBBSBFFX""",O,BAL,Ramón Hernández,JonÂ Lester,5%,68%,Flyball: RF (CF-RF),,,
Tuesday Aug 19,https://www.baseball-reference.com/boxes/BAL/BAL200808190.shtml,6-Feb,0.0,---,"""5","(2-2)...BCBCS""",O,BAL,Melvin Mora,JustinÂ Masterson,2%,94%,Strikeout Swinging,,,
Wednesday Aug 20,https://www.baseball-reference.com/boxes/BAL/BAL200808200.shtml,5-Nov,0.0,---,"""5","(3-1).CBBBB""",,BAL,Brian Roberts,HidekiÂ Okajima,0%,99%,Walk,,,
Friday Aug 22,https://www.baseball-reference.com/boxes/BAL/BAL200808220.shtml,3-Apr,0.0,---,"""5","(3-1).BCBBX""",O,BAL,Jay Payton,JosÃ©Â Veras,2%,24%,Flyball: LF,,,
Saturday Aug 23,https://www.baseball-reference.com/boxes/BAL/BAL200808230.shtml,5-Mar,0.0,---,"""4","(2-1)BBCX""",O,BAL,Nick Markakis,BrianÂ Bruney,4%,81%,Groundout: 3B-1B (Weak SS),,,
Sunday Aug 24,https://www.baseball-reference.com/boxes/BAL/BAL200808240.shtml,8-Jul,0.0,---,"""5","(2-2)..BCSBS""",O,BAL,Alex Cintrón,JosÃ©Â Veras,5%,68%,Strikeout Swinging,,,
Monday Aug 25,https://www.baseball-reference.com/boxes/BAL/BAL200808250.shtml,4-Mar,0.0,---,"""5","(2-2).CBBCS""",O,BAL,Jay Payton,OctavioÂ Dotel,5%,68%,Strikeout Swinging,,,
Tuesday Aug 26,https://www.baseball-reference.com/boxes/BAL/BAL200808260.shtml,7-Jan,0.0,---,"""6","(3-2)CSBBBB""",,BAL,Nick Markakis,GavinÂ Floyd,-1%,97%,Walk,,,
Wednesday Aug 27,https://www.baseball-reference.com/boxes/BAL/BAL200808270.shtml,2-Jul,0.0,---,"""6","(2-2)CBCFBX""",,BAL,Luke Scott,LanceÂ Broadway,0%,99%,Double to CF (Fly Ball to Deep LF-CF),,,
Friday Sep 5,https://www.baseball-reference.com/boxes/BAL/BAL200809050.shtml,3-Feb,0.0,---,"""2","(0-1)FX""",O,BAL,Luke Scott,JerryÂ Blevins,5%,68%,Groundout: 2B-1B,,,
Saturday Sep 6,https://www.baseball-reference.com/boxes/BAL/BAL200809060.shtml,0-5,0.0,---,"""5","(3-1)BBBCB""",,BAL,Oscar Salazar,GregÂ Smith,-2%,94%,Walk,,,
Monday Sep 8,https://www.baseball-reference.com/boxes/BAL/BAL200809080.shtml,3-Sep,0.0,---,"""5","(3-1).BBSBX""",O,BAL,Luke Scott,RichÂ Rundles,0%,99%,Groundout: 2B-1B,,,
Tuesday Sep 9,https://www.baseball-reference.com/boxes/BAL/BAL200809090.shtml,5-Jan,0.0,---,"""3","(0-2)FCS""",O,BAL,Ramón Hernández,JeremyÂ Sowers,2%,94%,Strikeout Swinging,,,
Wednesday Sep 10,https://www.baseball-reference.com/boxes/BAL/BAL200809100.shtml,0-7,0.0,---,"""2","(0-1)CX""",O,BAL,Aubrey Huff,ScottÂ Lewis,0%,99%,Popfly: 2B (Short RF Line),,,
Thursday Sep 11,https://www.baseball-reference.com/boxes/BAL/BAL200809110.shtml,3-May,0.0,---,"""4","(2-1).BBFX""",O,BAL,Melvin Mora,BrendanÂ Donnelly,-1%,87%,Flyball: CF (CF-RF),,,
Saturday Sep 13 (1),https://www.baseball-reference.com/boxes/BAL/BAL200809131.shtml,7-Jan,0.0,---,"""3","(0-2)..CFX""",O,BAL,Jay Payton,BoofÂ Bonser,1%,98%,Flyball: CF (Deep LF-CF),,,
Saturday Sep 13 (2),https://www.baseball-reference.com/boxes/BAL/BAL200809132.shtml,12-Jun,0.0,---,"""4","(1-2)CBSS""",O,BAL,Aubrey Huff,CraigÂ Breslow,1%,98%,Strikeout Swinging,,,
Sunday Sep 14,https://www.baseball-reference.com/boxes/BAL/BAL200809140.shtml,Jul-00,0.0,---,"""7","(3-2)FBBBFFB""",,BAL,Brian Roberts,PhilipÂ Humber,0%,100%,Walk,,,
Monday Sep 22,https://www.baseball-reference.com/boxes/BAL/BAL200809220.shtml,4-Feb,0.0,---,"""4","(1-2).CSBC""",O,BAL,Luis Montañez,GrantÂ Balfour,4%,81%,Strikeout Looking,,,
Tuesday Sep 23 (1),https://www.baseball-reference.com/boxes/BAL/BAL200809231.shtml,4-Feb,0.0,---,"""4","(2-1)BBCX""",,BAL,Alex Cintrón,JamesÂ Shields,-7%,70%,Single to 2B (Ground Ball to 2B-1B),,,
Tuesday Sep 23 (2),https://www.baseball-reference.com/boxes/BAL/BAL200809232.shtml,1-Apr,0.0,---,"""4","(1-2).FC*BX""",,BAL,Luis Montañez,JeffÂ Niemann,-1%,5%,Single to 3B (Ground Ball to P's Right),,,
Wednesday Sep 24,https://www.baseball-reference.com/boxes/BAL/BAL200809240.shtml,7-Jun,0.0,---,"""3","(0-2)FCX""",O,BAL,Brian Roberts,ChadÂ Bradford,5%,68%,Flyball: RF (Deep CF-RF),,,
Friday Sep 26,,,,,,,,,Nan,,,,,,,
Saturday Sep 27,,,,,,,,,Nan,,,,,,,
Sunday Sep 28,https://www.baseball-reference.com/boxes/BAL/BAL200809280.shtml,7-Jan,0.0,---,"""3","(2-0)BBX""",O,BAL,Adam Jones,JesseÂ Litsch,1%,98%,Flyball: CF,,,
Monday Apr 6,https://www.baseball-reference.com/boxes/BAL/BAL200904060.shtml,5-Jun,0.0,---,"""5","(3-1)BBCBB""",,BAL,Melvin Mora,PhilÂ Coke,3%,81%,Walk,,,
Wednesday Apr 8,https://www.baseball-reference.com/boxes/BAL/BAL200904080.shtml,2-Jul,0.0,---,"""4","(1-2)BFFX""",O,BAL,Melvin Mora,JonathanÂ Albaladejo,0%,98%,Lineout: CF,,,
Thursday Apr 9,https://www.baseball-reference.com/boxes/BAL/BAL200904090.shtml,9-Feb,0.0,---,"""4","(2-1).CBBX""",O,BAL,Chad Moeller,JosÃ©Â Veras,0%,99%,Flyball: CF (CF-RF),,,
Friday Apr 10,https://www.baseball-reference.com/boxes/BAL/BAL200904100.shtml,1-May,0.0,---,"""4","(1-2)CFBX""",O,BAL,Aubrey Huff,LanceÂ Cormier,0%,96%,Groundout: P-1B (P's Left),,,
Saturday Apr 11,https://www.baseball-reference.com/boxes/BAL/BAL200904110.shtml,Jun-00,0.0,---,"""5","(1-2).CFFBX""",O,BAL,Aubrey Huff,JoeÂ Nelson,0%,99%,Groundout: SS-1B,,,
Sunday Apr 12,https://www.baseball-reference.com/boxes/BAL/BAL200904120.shtml,0-9,0.0,---,"""6","(2-2)FBCBFS""",O,BAL,Aubrey Huff,JamesÂ Shields,0%,100%,Strikeout Swinging,,,
Tuesday Apr 21,https://www.baseball-reference.com/boxes/BAL/BAL200904210.shtml,3-Jun,0.0,---,"""2","(1-0)BX""",O,BAL,Ty Wigginton,ClaytonÂ Richard,-1%,93%,Groundout: SS-1B (Weak SS),,,
Wednesday Apr 22,https://www.baseball-reference.com/boxes/BAL/BAL200904220.shtml,6-Jan,0.0,---,"""2","(1-0)BX""",O,BAL,Nick Markakis,JohnÂ Danks,1%,97%,Flyball: RF (Deep CF-RF),,,
Thursday Apr 23,https://www.baseball-reference.com/boxes/BAL/BAL200904230.shtml,Jun-00,0.0,---,"""1","(0-0).X""",O,BAL,Ty Wigginton,OctavioÂ Dotel,0%,99%,Popfly: 3B,,,
Friday Apr 24,https://www.baseball-reference.com/boxes/BAL/BAL200904240.shtml,2-Apr,0.0,---,"""1","(0-0)X""",O,BAL,Brian Roberts,VicenteÂ Padilla,1%,13%,Groundout: 2B-1B,,,
Saturday Apr 25,https://www.baseball-reference.com/boxes/BAL/BAL200904250.shtml,6-Feb,0.0,---,"""7","(3-2)FFFBBBB""",,BAL,Gregg Zaun,DerekÂ Holland,-3%,89%,Walk,,,
Sunday Apr 26,https://www.baseball-reference.com/boxes/BAL/BAL200904260.shtml,5-Jul,0.0,---,"""5","(3-1)BBTBX""",O,BAL,Ty Wigginton,JasonÂ Jennings,-1%,87%,Groundout: SS-1B (Weak SS),,,
Monday Apr 27,https://www.baseball-reference.com/boxes/BAL/BAL200904270.shtml,6-Apr,0.0,---,"""6","(3-2)BCBCBX""",O,BAL,Luis Montañez,MattÂ Harrison,4%,81%,Groundout: 2B-1B,,,
Tuesday Apr 28,https://www.baseball-reference.com/boxes/BAL/BAL200904280.shtml,7-Apr,0.0,---,"""4","(2-1).BFBX""",O,BAL,Nick Markakis,JosÃ©Â Arredondo,3%,89%,Groundout: 2B-1B (2B-1B),,,
Wednesday Apr 29,https://www.baseball-reference.com/boxes/BAL/BAL200904290.shtml,3-Jan,0.0,---,"""3","(0-2)CCX""",,BAL,Chad Moeller,ShaneÂ Loux,-10%,67%,Double to CF (Fly Ball to Deep CF-RF),,,
Wednesday May 6,,,,,,,,,Nan,,,,,,,
Thursday May 7,https://www.baseball-reference.com/boxes/BAL/BAL200905070.shtml,4-Apr,0.0,---,"""3","(0-2).FFX""",,BAL,Gregg Zaun,MattÂ Guerrier,6%,65%,Single to RF (Fly Ball to Short CF-RF),,,
Friday May 8,https://www.baseball-reference.com/boxes/BAL/BAL200905080.shtml,0-4,0.0,---,"""5","(3-1)BBBCX""",O,BAL,Nick Markakis,CCÂ Sabathia,2%,94%,Flyball: CF (Deep CF),,,
Saturday May 9,https://www.baseball-reference.com/boxes/BAL/BAL200905090.shtml,5-Nov,0.0,---,"""2","(0-1)CX""",O,BAL,Luis Montañez,JonathanÂ Albaladejo,0%,99%,Groundout: SS-1B (Weak SS),,,
Sunday May 10,https://www.baseball-reference.com/boxes/BAL/BAL200905100.shtml,5-Mar,0.0,---,"""9","(3-2).BFCFFBBFX""",O,BAL,Brian Roberts,PhilÂ Coke,4%,81%,Groundout: SS-1B (Weak SS),,,
Tuesday May 12,https://www.baseball-reference.com/boxes/BAL/BAL200905120.shtml,5-Jul,0.0,---,"""4","(1-2).SBSX""",O,BAL,Adam Jones,JoeÂ Nelson,-1%,87%,Groundout: SS-1B (Weak SS),,,
Wednesday May 13,https://www.baseball-reference.com/boxes/BAL/BAL200905130.shtml,4-Feb,0.0,---,"""5","(1-2).LFBFX""",,BAL,Félix Pie,BrianÂ Shouse,-7%,70%,Single to CF (Ground Ball thru SS-2B),,,
Monday May 25,https://www.baseball-reference.com/boxes/BAL/BAL200905250.shtml,1-Feb,0.0,---,"""5","(1-2).BFFFX""",,BAL,César Izturis,B.J.Â Ryan,3%,81%,Single to 3B (Ground Ball to Weak 3B),,,
Tuesday May 26,https://www.baseball-reference.com/boxes/BAL/BAL200905260.shtml,2-May,0.0,---,"""3","(1-1)BCX""",O,BAL,Nick Markakis,JesseÂ Carlson,-1%,93%,Popfly: 2B,,,
Wednesday May 27,https://www.baseball-reference.com/boxes/BAL/BAL200905270.shtml,8-Mar,0.0,---,"""3","(0-2)FCS""",O,BAL,Félix Pie,RoyÂ Halladay,-1%,3%,Strikeout Swinging,,,
Thursday May 28,https://www.baseball-reference.com/boxes/BAL/BAL200905280.shtml,1-Feb,0.0,---,"""2","(0-1)CX""",O,BAL,Gregg Zaun,ArmandoÂ Galarraga,-2%,76%,Groundout: 2B-1B,,,
Friday May 29,https://www.baseball-reference.com/boxes/BAL/BAL200905290.shtml,2-Jul,0.0,---,"""3","(1-1)BCX""",O,BAL,Adam Jones,ZachÂ Miner,0%,98%,Groundout: 2B-1B,,,
Saturday May 30,https://www.baseball-reference.com/boxes/BAL/BAL200905300.shtml,4-Mar,0.0,---,"""7","(3-2).BCFBFBB""",,BAL,Brian Roberts,RyanÂ Perry,-7%,55%,Walk,,,
Sunday May 31,https://www.baseball-reference.com/boxes/BAL/BAL200905310.shtml,0-1,0.0,---,"""8","(3-2)FBFFBFBX""",O,BAL,Adam Jones,EdwinÂ Jackson,5%,67%,Groundout: P-SS-1B (Weak SS),,,
Tuesday Jun 9,https://www.baseball-reference.com/boxes/BAL/BAL200906090.shtml,Mar-00,0.0,---,"""4","(2-1)BFBX""",O,BAL,Robert Andino,BrandonÂ Morrow,-1%,93%,Flyball: RF (Deep RF Line),,,
Wednesday Jun 10,https://www.baseball-reference.com/boxes/BAL/BAL200906100.shtml,4-Jan,0.0,---,"""4","(1-2)BCFS""",O,BAL,Matt Wieters,FÃ©lixÂ HernÃ¡ndez,3%,89%,Strikeout Swinging,,,
Thursday Jun 11,https://www.baseball-reference.com/boxes/BAL/BAL200906110.shtml,6-Feb,0.0,---,"""5","(3-1)BBBCX""",,BAL,Robert Andino,ChrisÂ Jakubauskas,-3%,89%,Single to LF (Ground Ball),,,
Friday Jun 12,https://www.baseball-reference.com/boxes/BAL/BAL200906120.shtml,5-Feb,0.0,---,"""2","(0-1).CX""",O,BAL,Nick Markakis,EricÂ O'Flaherty,3%,89%,Popfly: SS (Deep SS),,,
Saturday Jun 13,https://www.baseball-reference.com/boxes/BAL/BAL200906130.shtml,4-Feb,0.0,---,"""6","(3-2).SSBBBB""",,BAL,Nick Markakis,EricÂ O'Flaherty,7%,30%,Walk,,,
Sunday Jun 14,https://www.baseball-reference.com/boxes/BAL/BAL200906140.shtml,1-Nov,0.0,---,"""4","(2-1).BBCX""",O,BAL,Nick Markakis,KrisÂ Medlen,0%,100%,Groundout: 2B-1B,,,
Tuesday Jun 16,https://www.baseball-reference.com/boxes/BAL/BAL200906160.shtml,6-Feb,0.0,---,"""1","(0-0)X""",O,BAL,Matt Wieters,SeanÂ Green,2%,94%,Groundout: P-1B,,,
Wednesday Jun 17,https://www.baseball-reference.com/boxes/BAL/BAL200906170.shtml,4-Apr,0.0,---,"""4","(1-2)BFFC""",O,BAL,Adam Jones,BobbyÂ Parnell,-4%,55%,Strikeout Looking,,,
Thursday Jun 18,https://www.baseball-reference.com/boxes/BAL/BAL200906180.shtml,4-Feb,0.0,---,"""2","(0-1)CX""",O,BAL,Robert Andino,LivÃ¡nÂ HernÃ¡ndez,-4%,19%,Groundout: P-1B (P's Right),,,
Friday Jun 26,https://www.baseball-reference.com/boxes/BAL/BAL200906260.shtml,1-Nov,0.0,---,"""2","(1-0)..BX""",O,BAL,Robert Andino,JesÃºsÂ ColomÃ©,0%,100%,Popfly: SS (Short CF),,,
Saturday Jun 27,https://www.baseball-reference.com/boxes/BAL/BAL200906270.shtml,3-Apr,0.0,---,"""1","(0-0)X""",O,BAL,Adam Jones,JuliÃ¡nÂ TavÃ¡rez,-2%,76%,Flyball: CF (Deep LF-CF),,,
Sunday Jun 28,https://www.baseball-reference.com/boxes/BAL/BAL200906280.shtml,4-Jan,0.0,---,"""1","(0-0)X""",O,BAL,Luke Scott,JohnÂ Lannan,3%,89%,Flyball: RF (Deep CF-RF),,,
Monday Jun 29,https://www.baseball-reference.com/boxes/BAL/BAL200906290.shtml,0-4,0.0,---,"""4","(1-2)BCCX""",,BAL,Nolan Reimold,JonÂ Lester,-3%,89%,Single to LF (Line Drive to Short LF-CF),,,
Tuesday Jun 30,https://www.baseball-reference.com/boxes/BAL/BAL200906300.shtml,10-Jan,0.0,---,"""1","(0-0).X""",,BAL,Aubrey Huff,JustinÂ Masterson,0%,1%,Single to RF (Line Drive),,,
Wednesday Jul 1,https://www.baseball-reference.com/boxes/BAL/BAL200907010.shtml,1-May,0.0,---,"""3","(1-1)CBX""",O,BAL,Gregg Zaun,JoshÂ Beckett,0%,4%,Popfly: SS (Deep SS),,,
Friday Jul 10,https://www.baseball-reference.com/boxes/BAL/BAL200907100.shtml,0-2,0.0,---,"""5","(0-2).CSFFX""",,BAL,Melvin Mora,ShawnÂ Camp,-7%,70%,Single to 3B (Ground Ball),,,
Saturday Jul 11,https://www.baseball-reference.com/boxes/BAL/BAL200907110.shtml,2-Mar,0.0,---,"""4","(3-0)BBBB""",,BAL,Melvin Mora,RickyÂ Romero,3%,81%,Walk,,,
Sunday Jul 12,https://www.baseball-reference.com/boxes/BAL/BAL200907120.shtml,2-Mar,0.0,---,"""3","(1-1)..CBX""",O,BAL,Gregg Zaun,ShawnÂ Camp,-2%,76%,Groundout: SS-1B (SS-2B),,,
Monday Jul 27,https://www.baseball-reference.com/boxes/BAL/BAL200907270.shtml,4-Mar,0.0,---,"""3","(0-2)SSX""",O,BAL,Adam Jones,RobÂ Tejeda,5%,67%,Flyball: RF (CF-RF),,,
Tuesday Jul 28,https://www.baseball-reference.com/boxes/BAL/BAL200907280.shtml,2-Mar,0.0,---,"""2","(0-1).SX""",,BAL,Brian Roberts,JohnÂ Bale,-5%,16%,Double to CF (Line Drive to Deep LF-CF),,,
Wednesday Jul 29,https://www.baseball-reference.com/boxes/BAL/BAL200907290.shtml,3-Feb,0.0,---,"""5","(3-1).CBBBB""",,BAL,César Izturis,RobÂ Tejeda,7%,45%,Walk,,,
Thursday Jul 30,https://www.baseball-reference.com/boxes/BAL/BAL200907300.shtml,1-Jul,0.0,---,"""2","(0-1).CX""",O,BAL,Nick Markakis,RonÂ Mahay,0%,99%,Groundout: SS-1B (Weak SS),,,
Friday Jul 31,https://www.baseball-reference.com/boxes/BAL/BAL200907310.shtml,6-May,0.0,---,"""5","(3-1).BBBCX""",,BAL,Matt Wieters,RamÃ³nÂ RamÃ­rez,-7%,55%,Single to CF (Fly Ball),,,
Saturday Aug 1,https://www.baseball-reference.com/boxes/BAL/BAL200908010.shtml,0-4,0.0,---,"""8","(3-2)FBBFBFFB""",,BAL,Luke Scott,JoshÂ Beckett,-3%,89%,Walk,,,
Sunday Aug 2,https://www.baseball-reference.com/boxes/BAL/BAL200908020.shtml,16-Sep,0.0,---,"""5","(2-2)..FSBBX""",O,BAL,Ty Wigginton,RamÃ³nÂ RamÃ­rez,0%,99%,Groundout: 2B-1B,,,
Monday Aug 10,https://www.baseball-reference.com/boxes/BAL/BAL200908100.shtml,0-5,0.0,---,"""1","(0-0)X""",,BAL,Melvin Mora,GioÂ Gonzalez,-2%,94%,Single to CF (Ground Ball thru SS-2B),,,
Tuesday Aug 11,https://www.baseball-reference.com/boxes/BAL/BAL200908110.shtml,2-Mar,0.0,---,"""1","(0-0)X""",O,BAL,Melvin Mora,TrevorÂ Cahill,-2%,76%,Flyball: LF (LF-CF),,,
Wednesday Aug 12,https://www.baseball-reference.com/boxes/BAL/BAL200908120.shtml,4-Mar,0.0,---,"""5","(3-1)..BSBBB""",,BAL,Brian Roberts,CraigÂ Breslow,-7%,55%,Walk,,,
Friday Aug 14,https://www.baseball-reference.com/boxes/BAL/BAL200908140.shtml,5-Sep,0.0,---,"""1","(0-0)X""",,BAL,Félix Pie,ShaneÂ Loux,0%,97%,Single to SS (Ground Ball to Weak 3B),,,
Saturday Aug 15,https://www.baseball-reference.com/boxes/BAL/BAL200908150.shtml,5-Jan,0.0,---,"""3","(1-1).CBX""",O,BAL,César Izturis,JohnÂ Lackey,2%,94%,Groundout: 2B-1B (2B-1B),,,
Sunday Aug 16,https://www.baseball-reference.com/boxes/BAL/BAL200908160.shtml,8-Jun,0.0,---,"""2","(0-1)CX""",O,BAL,Adam Jones,MattÂ Palmer,4%,81%,Groundout: 1B unassisted (2B-1B),,,
Monday Aug 17,https://www.baseball-reference.com/boxes/BAL/BAL200908170.shtml,8-Mar,0.0,---,"""5","(2-2).CBBFX""",O,BAL,Ty Wigginton,DarrenÂ Oliver,1%,97%,Lineout: LF (LF-CF),,,
Thursday Aug 27,https://www.baseball-reference.com/boxes/BAL/BAL200908270.shtml,2-Mar,0.0,---,"""6","(3-2)BSBFBX""",R,BAL,Matt Wieters,JessÂ Todd,-10%,12%,Home Run (Fly Ball to Deep LF-CF),,,
Friday Aug 28,https://www.baseball-reference.com/boxes/BAL/BAL200908280.shtml,3-Sep,0.0,---,"""3","(0-2).FFX""",,BAL,Ty Wigginton,JessÂ Todd,0%,99%,Single to LF (Line Drive),,,
Saturday Aug 29,https://www.baseball-reference.com/boxes/BAL/BAL200908290.shtml,4-Feb,0.0,---,"""6","(3-2).BCSBBX""",O,BAL,Melvin Mora,JoeÂ Smith,4%,81%,Lineout: CF,,,
Sunday Aug 30,https://www.baseball-reference.com/boxes/BAL/BAL200908300.shtml,1-May,0.0,---,"""6","(1-2)BSSFFX""",O,BAL,Adam Jones,RafaelÂ PÃ©rez,0%,96%,Groundout: SS-1B (Weak SS),,,
Monday Aug 31,https://www.baseball-reference.com/boxes/BAL/BAL200908310.shtml,0-2,0.0,---,"""5","(1-2)CSBFX""",O,BAL,Brian Roberts,AndyÂ Pettitte,4%,81%,Flyball: RF (Deep RF),,,
Tuesday Sep 1,https://www.baseball-reference.com/boxes/BAL/BAL200909010.shtml,9-Jun,0.0,---,"""3","(2-0)..BBX""",O,BAL,Luke Scott,DÃ¡masoÂ Marte,3%,89%,Popfly: SS (Deep SS-3B Hole),,,
Wednesday Sep 2,https://www.baseball-reference.com/boxes/BAL/BAL200909020.shtml,3-Jan,0.0,---,"""2","(1-0).BX""",,BAL,Ty Wigginton,CCÂ Sabathia,-7%,70%,Single to CF (Line Drive),,,
Friday Sep 4,https://www.baseball-reference.com/boxes/BAL/BAL200909040.shtml,5-Jan,0.0,---,"""5","(2-2)CBFBS""",O,BAL,Luke Scott,ScottÂ Feldman,2%,94%,Strikeout Swinging,,,
Saturday Sep 5,https://www.baseball-reference.com/boxes/BAL/BAL200909050.shtml,4-May,0.0,---,"""4","(1-2).BCFS""",O,BAL,Brian Roberts,EddieÂ Guardado,-2%,76%,Strikeout Swinging,,,
Sunday Sep 6,https://www.baseball-reference.com/boxes/BAL/BAL200909060.shtml,Jun-00,0.0,---,"""4","(1-2)...FBCX""",O,BAL,Nolan Reimold,GuillermoÂ Moscoso,0%,99%,Flyball: CF (Deep LF-CF),,,
Monday Sep 14,https://www.baseball-reference.com/boxes/BAL/BAL200909140.shtml,8-Apr,0.0,---,"""6","(3-2)BBBCFS""",O,BAL,Ty Wigginton,DavidÂ Price,2%,94%,Strikeout Swinging,,,
Tuesday Sep 15,https://www.baseball-reference.com/boxes/BAL/BAL200909150.shtml,5-Jun,0.0,---,"""3","(2-0)...BBX""",R,BAL,Luke Scott,BrianÂ Shouse,10%,88%,Home Run (Fly Ball to Deep RF),,,
Wednesday Sep 16,https://www.baseball-reference.com/boxes/BAL/BAL200909160.shtml,1-Feb,0.0,---,"""6","(1-2)CBTFFS""",O,BAL,Matt Wieters,GrantÂ Balfour,-2%,76%,Strikeout Swinging,,,
Thursday Sep 17,https://www.baseball-reference.com/boxes/BAL/BAL200909170.shtml,0-2,0.0,---,"""5","(2-2)..CBFBS""",O,BAL,Melvin Mora,WadeÂ Davis,4%,81%,Strikeout Swinging,,,
Friday Sep 18,https://www.baseball-reference.com/boxes/BAL/BAL200909180.shtml,3-Jan,0.0,---,"""1","(0-0).X""",O,BAL,Ty Wigginton,DanielÂ Bard,4%,81%,Groundout: 1B unassisted (2B-1B),,,
Saturday Sep 19,https://www.baseball-reference.com/boxes/BAL/BAL200909190.shtml,6-Mar,0.0,---,"""3","(1-1)...BCX""",,BAL,Jeff Fiorentino,JonÂ Lester,-5%,81%,Single to CF (Line Drive),,,
Sunday Sep 20,https://www.baseball-reference.com/boxes/BAL/BAL200909200.shtml,9-Mar,0.0,---,"""6","(3-2)BBCBFS""",O,BAL,César Izturis,RamÃ³nÂ RamÃ­rez,1%,98%,Strikeout Swinging,,,
Friday Oct 2,https://www.baseball-reference.com/boxes/BAL/BAL200910020.shtml,13-4,0.0,---,"""2","(1-0)BX""",O,BAL,Justin Turner,DirkÂ Hayhurst,0%,100%,Lineout: 2B,,,
Saturday Oct 3,https://www.baseball-reference.com/boxes/BAL/BAL200910030.shtml,3-Jun,0.0,---,"""4","(2-1).CBBX""",O,BAL,Nick Markakis,CaseyÂ Janssen,-1%,93%,Flyball: RF (Deep CF-RF),,,
Sunday Oct 4,https://www.baseball-reference.com/boxes/BAL/BAL200910040.shtml,4-Apr,0.0,---,"""3","(1-1)BFX""",O,BAL,Michael Aubrey,RickyÂ Romero,-4%,55%,Groundout: 1B unassisted,,,
Friday Apr 9,https://www.baseball-reference.com/boxes/BAL/BAL201004090.shtml,5-May,0.0,---,"""11","(3-2)BSBSFBFFFFX""",O,BAL,Julio Lugo,ShawnÂ Camp,4%,45%,Groundout: SS-1B (Weak SS),,,
Saturday Apr 10,https://www.baseball-reference.com/boxes/BAL/BAL201004100.shtml,0-2,0.0,---,"""1","(0-0)X""",O,BAL,Matt Wieters,DanaÂ Eveland,4%,83%,Groundout: 2B-1B,,,
Sunday Apr 11,https://www.baseball-reference.com/boxes/BAL/BAL201004110.shtml,1-Feb,0.0,---,"""2","(0-1).CX""",O,BAL,César Izturis,CaseyÂ Janssen,2%,23%,Groundout: 3B-1B (Weak 3B),,,
Monday Apr 12,https://www.baseball-reference.com/boxes/BAL/BAL201004120.shtml,3-Jan,0.0,---,"""3","(1-1)CBX""",O,BAL,Matt Wieters,MattÂ Garza,4%,83%,Popfly: 3B (Weak 3B),,,
Tuesday Apr 13,https://www.baseball-reference.com/boxes/BAL/BAL201004130.shtml,Mar-00,0.0,---,"""4","(2-1)BCBX""",O,BAL,Félix Pie,JeffÂ Niemann,1%,6%,Single to CF (Line Drive); F.Â Pie out at 2B/P-2B-1B,,,
Wednesday Apr 14,https://www.baseball-reference.com/boxes/BAL/BAL201004140.shtml,9-Jan,0.0,---,"""4","(1-2)BFCX""",O,BAL,Luke Scott,DavidÂ Price,0%,100%,Groundout: 2B-1B (Deep 2B),,,
Tuesday Apr 27,https://www.baseball-reference.com/boxes/BAL/BAL201004270.shtml,2-Apr,0.0,---,"""1","(0-0).X""",O,BAL,Nick Markakis,AlfredoÂ Aceves,-1%,88%,Groundout: 2B-1B,,,
Wednesday Apr 28,https://www.baseball-reference.com/boxes/BAL/BAL201004280.shtml,8-Feb,0.0,---,"""3","(1-1)BCX""",,BAL,César Izturis,CCÂ Sabathia,-1%,97%,Single to RF (Ground Ball thru 2B-1B),,,
Thursday Apr 29,https://www.baseball-reference.com/boxes/BAL/BAL201004290.shtml,0-3,0.0,---,"""1","(0-0)X""",O,BAL,Luke Scott,A.J.Â Burnett,3%,91%,Flyball: LF (Deep LF-CF),,,
Friday Apr 30,https://www.baseball-reference.com/boxes/BAL/BAL201004300.shtml,3-Mar,0.0,---,"""3","(1-1)CBX""",O,BAL,Garrett Atkins,JohnÂ Lackey,-4%,55%,Flyball: CF (Deep CF-RF),,,
Saturday May 1,https://www.baseball-reference.com/boxes/BAL/BAL201005010.shtml,8-Nov,0.0,---,"""2","(0-1)..CX""",O,BAL,Miguel Tejada,TimÂ Wakefield,-1%,94%,Foul Popfly: C (Behind Home),,,
